<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TV2,20100729,23.5,24.2,22.5,22.7,13100
TV2,20100728,23.5,23.9,22.9,23.5,1000
TV2,20100727,22.8,24.1,22.3,22.5,30000
TV2,20100726,23.8,24,23.8,23.9,3300
TV2,20100723,22,24.2,21.9,22.6,9000
TV2,20100722,23.1,23.1,22.7,22.8,2900
TV2,20100721,23.6,23.6,23.5,23.5,2700
TV2,20100720,24.7,24.7,24.7,24.7,100
TV2,20100719,24.1,24.1,22.9,23.6,10900
TV2,20100716,24,25.2,24,24.6,3500
TV2,20100715,24,24.8,23.8,23.9,26000
TV2,20100714,25,25,24.6,24.8,3900
TV2,20100713,25.8,26,25,25.2,24000
TV2,20100712,25,25,24.1,24.3,2900
TV2,20100709,24.5,24.5,23.5,24,2800
TV2,20100708,24,24.5,24,24,5200
TV2,20100707,24.8,24.8,23.1,24,200
TV2,20100706,23.7,23.7,23.6,23.6,1100
TV2,20100705,24.8,24.9,23.6,24.5,7600
TV2,20100702,24.8,24.8,24.4,24.5,2300
TV2,20100701,25.4,25.4,24.2,24.4,1100
TV2,20100630,24.7,25.7,24.7,25.3,18200
TV2,20100629,26.4,27.6,26,26.5,37200
TV2,20100628,26.5,26.5,25.6,26.2,73400
TV2,20100625,26.8,26.8,25,25.6,65000
TV2,20100624,25.9,25.9,24.7,25.4,59900
TV2,20100623,23.4,25.3,23.4,24.7,23900
TV2,20100622,24.8,25.7,22.7,25.1,19800
TV2,20100621,24.8,24.8,24,24.1,19600
TV2,20100618,24,24.5,23.9,24.2,29900
TV2,20100617,23,24.2,23,23.1,9100
TV2,20100616,25.5,25.6,22.4,24.3,14000
TV2,20100615,23.5,24.1,23.5,24,83300
TV2,20100614,23.5,23.5,22,22.6,5300
TV2,20100611,22.7,22.7,22.7,22.7,100
TV2,20100610,21.2,22.4,21.2,21.3,1700
TV2,20100609,24,24,21.5,22.4,3500
TV2,20100608,23,23,23,23,1600
TV2,20100607,21.5,22.9,21.5,21.7,10300
TV2,20100604,24.4,24.4,22.9,23.1,7600
TV2,20100603,23.5,23.5,22.9,23.3,3000
TV2,20100602,20.9,23.5,20.9,22.3,9300
TV2,20100601,24.5,24.5,22,22.4,11600
TV2,20100531,23.9,23.9,22.5,23.2,6400
TV2,20100528,22.9,23.2,22.5,22.9,13300
TV2,20100527,22.3,22.3,21.5,21.7,1600
TV2,20100526,21.7,21.8,20.7,21.3,19200
TV2,20100525,20.9,20.9,18.5,20.4,9000
TV2,20100524,21.2,21.2,19,19.6,1900
TV2,20100521,19,21,19,20,11400
TV2,20100520,19,21.6,19,19.7,9000
TV2,20100519,22.3,22.3,20.1,20.2,16100
TV2,20100518,22.8,22.8,21.2,21.7,1100
TV2,20100517,23.3,23.3,22.7,22.8,1800
TV2,20100514,23.6,23.6,22.1,22.5,4100
TV2,20100513,22,22.8,21.3,22,13100
TV2,20100512,22.6,22.6,21.6,22,46200
TV2,20100511,24.8,24.8,22.9,23.2,42700
TV2,20100510,24.8,24.8,23.3,24.2,10800
TV2,20100507,25.6,25.6,23.9,24.5,31000
TV2,20100506,25.8,26.3,25.3,25.7,35400
TV2,20100505,24.8,26.4,23.7,25.8,117300
TV2,20100504,24.8,24.8,23.8,24.6,17800
TV2,20100429,24.8,24.8,23.2,24.6,63400
TV2,20100428,21.9,23.4,21.8,23.2,35300
TV2,20100427,21.6,22.3,21.2,21.8,19100
TV2,20100426,21.8,23,21.8,22.3,41500
TV2,20100422,24.1,24.3,21.8,23,37100
TV2,20100421,22.8,22.8,21.7,22.7,61100
TV2,20100420,21.3,21.3,21.2,21.3,49000
TV2,20100419,19,20,19,19.9,48000
TV2,20100416,17.8,18.8,17.8,18.7,21000
TV2,20100415,18.1,18.1,18.1,18.1,6400
TV2,20100414,18.1,18.3,17.8,18,6200
TV2,20100413,18,18,17.8,17.8,3800
TV2,20100412,17.8,18,17.8,18,5800
TV2,20100409,17.8,17.9,17.8,17.8,5000
TV2,20100408,18,18,17.8,17.9,1500
TV2,20100407,17.3,17.3,17.1,17.2,7400
TV2,20100406,16.8,17.8,16.8,17.7,2700
TV2,20100405,18.3,18.3,17.8,18,5600
TV2,20100402,17.8,18.2,17.8,18,3300
TV2,20100401,17.8,18,17.8,17.9,1100
TV2,20100331,16.8,17,16.8,16.8,2800
TV2,20100330,17.8,17.8,16.6,16.8,7300
TV2,20100329,17.1,17.1,17.1,17.1,1000
TV2,20100326,16.6,17.3,16.6,17.1,5400
TV2,20100325,17.3,17.3,17.3,17.3,3500
TV2,20100324,17.6,17.6,17.2,17.3,4600
TV2,20100323,17.8,17.8,17.8,17.8,1400
TV2,20100319,18.3,18.3,17.8,17.9,5400
TV2,20100318,18.7,18.7,18.7,18.7,300
TV2,20100316,18.1,18.2,17.9,18,3400
TV2,20100315,18.8,18.8,18.4,18.8,8000
TV2,20100312,18.1,18.3,18.1,18.2,2800
TV2,20100311,17.8,18.1,17.8,17.9,7400
TV2,20100310,17.6,17.8,17.6,17.8,4900
TV2,20100309,18.3,18.4,18.2,18.3,3500
TV2,20100308,18.3,18.6,18.3,18.5,6300
TV2,20100305,17.8,17.8,17.6,17.8,800
TV2,20100304,17.6,17.6,17.6,17.6,1400
TV2,20100303,17.8,17.8,17,17.7,4700
TV2,20100302,18.7,18.7,16.8,17.8,200
TV2,20100301,17.8,17.8,17.7,17.8,3900
TV2,20100226,17.8,17.8,17.8,17.8,100
TV2,20100225,17.4,17.4,17.3,17.4,1300
TV2,20100224,17.4,17.4,17,17.3,2100
TV2,20100223,17.4,17.4,17.3,17.3,2600
TV2,20100222,18,18,18,18,100
TV2,20100212,16.6,17.8,16.6,16.8,2700
TV2,20100211,16.8,17,16.6,16.8,6200
TV2,20100210,17,17,16.7,16.8,5000
TV2,20100209,16.9,16.9,16.9,16.9,2000
TV2,20100208,17.7,17.7,16.9,16.9,4100
TV2,20100204,17,18,17,17.8,8300
TV2,20100203,16.9,17,16.9,17,4000
TV2,20100201,16.8,17,16.8,16.9,5600
TV2,20100129,17.5,17.5,16.8,16.9,7000
TV2,20100128,17.3,17.3,17.1,17.1,7200
TV2,20100126,18.8,18.8,18.3,18.3,3000
TV2,20100125,17.8,17.8,17.8,17.8,100
TV2,20100122,17,17,16.2,16.7,1300
TV2,20100121,16.9,17.3,16.9,17,17000
TV2,20100120,18.4,18.4,18.2,18.2,4500
TV2,20100119,19.8,19.8,19.3,19.6,2200
TV2,20100118,20.3,20.5,19.1,19.8,5200
TV2,20100115,19,19.1,19,19.1,35600
TV2,20100114,17.6,17.9,17.3,17.8,10300
TV2,20100113,16.3,17.3,16,16.7,2600
TV2,20100112,16.8,16.9,16.2,16.6,2800
TV2,20100111,17.5,17.5,17.5,17.5,500
TV2,20100108,17.8,17.8,16.9,17.5,800
TV2,20100107,17.3,17.4,17.3,17.3,7700
TV2,20100106,19.8,19.8,18.3,18.5,700
TV2,20100105,18.8,18.8,18.8,18.8,29600
TV2,20100104,17.3,17.5,16.8,17.5,17300
TV2,20091231,16.9,16.9,15.8,16.3,14100
TV2,20091230,16.9,17,16.9,17,1600
TV2,20091228,18.1,18.1,17.8,17.8,5100
TV2,20091225,19.1,19.1,17.9,18.1,3100
TV2,20091224,17.8,18.3,17.8,17.9,2300
TV2,20091222,17.8,17.8,17.8,17.8,500
TV2,20091221,18.7,19.8,18.7,19.1,300
TV2,20091218,18.7,18.7,18.7,18.7,600
TV2,20091217,18.9,18.9,18.9,18.9,100
TV2,20091214,17.8,17.8,17.8,17.8,1800
TV2,20091211,17.9,17.9,17.9,17.9,200
TV2,20091210,19.3,19.4,19.3,19.3,4900
TV2,20091209,20.8,20.8,20.8,20.8,2000
TV2,20091204,22,23.3,21.8,22,2200
TV2,20091203,22.1,22.1,22.1,22.1,700
TV2,20091202,23.8,23.8,23.8,23.8,100
TV2,20091201,22.8,23.1,22.8,23,6700
TV2,20091130,21.6,21.6,21.6,21.6,600
TV2,20091127,20.7,20.8,20.7,20.7,8000
