<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
V12,20100729,33,33.2,32,33.2,7200
V12,20100728,32.5,33,32,32.5,11200
V12,20100727,34.9,35,32.2,33.6,5800
V12,20100726,35.3,35.3,33,33.4,23400
V12,20100723,35.1,35.9,35,35.1,9100
V12,20100722,35.5,36,35.1,35.8,28300
V12,20100721,35,36,34.7,35.1,61300
V12,20100720,34,35.7,33.9,34.8,80600
V12,20100719,33.5,34,33.1,33.5,23700
V12,20100716,32.9,33.5,32.4,32.8,34600
V12,20100715,32.2,33.4,32,32.7,19300
V12,20100714,34.2,34.2,32.5,33.2,48300
V12,20100713,32.5,34.1,32.5,34,101100
V12,20100712,31.9,32,31.4,31.9,25100
V12,20100709,30.9,31.4,30.9,31.2,13900
V12,20100708,31.2,31.4,30.1,30.5,5800
V12,20100707,31.5,31.8,30.8,31,25100
V12,20100706,30.5,31,30.2,30.8,23700
V12,20100705,31.4,31.4,30.7,30.9,8100
V12,20100702,31,31.2,30.8,31,8700
V12,20100701,29.2,31.8,29.2,31,10800
V12,20100630,31.5,32,29.6,31.2,16800
V12,20100629,31,32.4,31,31.6,19100
V12,20100628,32.2,32.2,30.3,30.7,5100
V12,20100625,32,32.1,30.8,31.5,37600
V12,20100624,32.5,33.8,32.5,33.1,51800
V12,20100623,31.9,32,31,31.6,34100
V12,20100622,32,32,31.2,31.4,32500
V12,20100621,33,33,31.5,32,41200
V12,20100618,32.8,32.8,31.5,32,34600
V12,20100617,31.7,33.5,31.7,32.4,62500
V12,20100616,32.5,32.8,31,31.7,10100
V12,20100615,30.4,32.3,30.4,31.2,26700
V12,20100614,29.4,31.3,29.4,31.1,81000
V12,20100611,30.5,30.5,29,29.2,9600
V12,20100610,29,29.5,27.6,28.7,14200
V12,20100609,29.5,30.1,28.4,29.5,10100
V12,20100608,26.5,29.5,26.5,28.3,59800
V12,20100607,28,28,27.8,27.9,35900
V12,20100604,31,31,29.5,30,19300
V12,20100603,31.3,31.3,30.2,30.6,17800
V12,20100602,29,30.5,28.9,30,26000
V12,20100601,29,30,28.5,28.9,29700
V12,20100531,34.5,34.5,30.5,30.6,6900
V12,20100528,32.2,32.6,30.6,32.5,47800
V12,20100527,30.9,31,29,30.4,13200
V12,20100526,31.2,31.2,29.2,30.4,43900
V12,20100525,28.8,29.7,27.3,29.2,23800
V12,20100524,29.4,29.6,27.5,28.8,24300
V12,20100521,27.6,27.6,27.6,27.6,21200
V12,20100520,28.4,31.3,28.2,29.7,85700
V12,20100519,31.5,33.2,29.1,30.4,45000
V12,20100518,33.4,33.4,30.5,31,14600
V12,20100517,33,33.3,29.5,32.4,25800
V12,20100514,31.2,31.2,31.1,31.2,14600
V12,20100513,29.5,30,28.8,29.1,75000
V12,20100512,31.3,31.7,30.9,31,82300
V12,20100511,34.7,34.7,32.6,33.3,40700
V12,20100510,35.2,35.2,35.1,35.1,44900
V12,20100507,41.5,42.3,36.7,37.8,67000
V12,20100506,37.2,39.6,37.2,39.5,55600
V12,20100505,37.2,37.2,34.7,37,98300
V12,20100504,34.7,34.7,34.7,34.7,21200
V12,20100429,32.4,32.4,31.1,32.4,60400
V12,20100428,28.7,31.5,28.7,30.2,55900
V12,20100427,29.8,30.3,29.5,29.8,35200
V12,20100426,30.8,30.8,30.8,30.8,8000
V12,20100422,32.7,33.9,31.1,33.2,41600
V12,20100421,31.5,32.3,31,31.6,22100
V12,20100420,30.5,30.5,29.7,30.4,26000
V12,20100419,31,31.3,29,30.4,7700
V12,20100416,27.8,29.6,27.7,29.3,89600
V12,20100415,27.9,27.9,27.4,27.6,10900
V12,20100414,26.6,26.8,26.2,26.6,10100
V12,20100413,26.5,28,26.2,26.6,17900
V12,20100412,26.2,27,26.1,26.3,25300
V12,20100409,27.7,27.7,26.6,27,16800
V12,20100408,26.7,28.3,26.6,27.7,20200
V12,20100407,26.7,26.8,26,26.4,16100
V12,20100406,28.8,28.8,26.5,26.9,11000
V12,20100405,26.9,27.3,26.5,27.1,14800
V12,20100402,25.8,25.8,25.1,25.5,3000
V12,20100401,25.7,26.5,25.5,25.7,17000
V12,20100331,26.4,26.4,25.5,25.7,9400
V12,20100330,28.1,28.5,26.5,26.8,15200
V12,20100329,29.2,29.2,27,28.1,3500
V12,20100326,26.8,28.7,26.8,28.3,71000
V12,20100325,26.8,26.8,26.8,26.8,2900
V12,20100324,28.7,29.5,27.1,28.5,17300
V12,20100323,29.3,29.3,27.5,28.7,18900
V12,20100322,26.7,27.6,26,27.3,55900
V12,20100319,26,26,25.6,25.7,4500
V12,20100318,25,26.2,25,25.6,6600
V12,20100317,25,25,25,25,3600
V12,20100316,26.5,27.3,25,26.2,8300
V12,20100315,26,26.7,26,26.6,13000
V12,20100312,25.1,25.3,24.6,24.9,13400
V12,20100311,25.5,25.5,24.1,24.6,9200
V12,20100310,25,26.7,24.9,25.1,5700
V12,20100309,28,28,25.6,26.8,10400
V12,20100308,26.5,27,26.5,26.8,9800
V12,20100305,25,25.5,24.5,25.2,20600
V12,20100304,23.6,24.3,23.5,24,8700
V12,20100303,22,23,22,22.7,6500
V12,20100302,20.6,21.7,20.6,21.4,3900
V12,20100301,20.5,21,20.5,20.6,4600
V12,20100226,20,20.5,20,20.3,2800
V12,20100225,20.1,20.1,19.6,20,3400
V12,20100224,19.5,20.3,19.5,20.1,2200
V12,20100223,21,21,20.1,20.4,3000
V12,20100222,21.7,21.7,21.4,21.5,4700
V12,20100212,22.5,22.5,20,21.3,1900
V12,20100211,21,21,21,21,600
V12,20100210,21,21,21,21,100
V12,20100209,22.2,22.2,19.5,20,4100
V12,20100208,21,21,20.9,20.9,800
V12,20100205,19.5,21.8,19.5,20.5,1400
V12,20100204,21.1,21.1,20.5,20.7,6600
V12,20100203,22.6,22.6,20.5,20.6,5200
V12,20100202,22.4,22.4,20.5,21.1,2400
V12,20100201,21.1,21.1,21,21.1,11200
V12,20100129,22.6,22.6,22.6,22.6,100
V12,20100128,21.6,21.6,21.5,21.5,4400
V12,20100127,24.5,24.5,22,23.1,8900
V12,20100126,23.7,23.7,23.7,23.7,6100
V12,20100125,22,22.5,21.6,22.1,6100
V12,20100122,23.6,23.6,22.8,23.1,16400
V12,20100121,24.5,25.1,24.5,24.6,9300
V12,20100120,26.4,26.4,26.4,26.4,100
V12,20100119,27.3,27.3,24,24.7,3600
V12,20100118,27.5,27.5,25.5,25.8,10900
V12,20100115,28.5,28.5,27,27.5,7800
V12,20100114,29.2,29.2,27.5,28.7,5800
V12,20100113,28.3,28.5,26.3,27.2,21200
V12,20100112,27.5,29.3,27.5,28.3,18900
V12,20100111,27.5,28.5,27.2,27.3,54800
V12,20100108,29.1,30.5,29.1,29.3,32700
V12,20100107,31.3,31.4,31.2,31.3,17100
V12,20100106,35.6,35.6,33.1,33.6,11100
V12,20100105,33.5,38.5,28,35.6,72500
