<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VC3,20100729,79.5,79.5,73,73,900
VC3,20100728,76,76,76,76,500
VC3,20100727,78.5,78.5,78.5,78.5,600
VC3,20100726,74.7,74.7,73.5,74.1,13100
VC3,20100723,78.5,78.5,74,74.8,13200
VC3,20100722,75,75,73.7,74.4,16400
VC3,20100721,76,76,74.7,75.2,17700
VC3,20100720,76.2,76.2,75.3,75.9,17500
VC3,20100719,75.5,76.5,75.5,76,18700
VC3,20100716,78.6,78.6,75.7,76.5,16100
VC3,20100715,77.3,78.7,76,77.1,14100
VC3,20100714,77.2,77.5,76.5,77.2,30200
VC3,20100713,76.5,77.7,76.3,77,23100
VC3,20100712,76.5,76.7,76,76.3,20400
VC3,20100709,76.9,76.9,76.5,76.7,19400
VC3,20100708,78,78,76.2,76.9,17000
VC3,20100707,76.2,76.5,75.7,76.2,28300
VC3,20100706,76.5,76.5,76,76.2,19500
VC3,20100705,76,77.5,76,76.5,2300
VC3,20100702,76,76,73.4,74.7,4300
VC3,20100701,78.9,78.9,78.9,78.9,200
VC3,20100629,74.5,74.5,74,74.3,600
VC3,20100628,75,75,74,74.5,2300
VC3,20100625,74,74,74,74,1000
VC3,20100624,77.1,77.1,77.1,77.1,1200
VC3,20100623,77.7,77.7,76.1,77.1,500
VC3,20100622,78.5,78.5,77,77.7,4300
VC3,20100621,78.4,78.4,76.5,78.2,7300
VC3,20100618,79,79,78.2,78.4,10700
VC3,20100617,78.5,78.5,77.7,78.2,9900
VC3,20100616,78,78.8,77.8,78.2,9400
VC3,20100615,79,79.6,75.5,77.4,11000
VC3,20100614,80.7,80.7,75.2,77.9,23000
VC3,20100611,81.5,82,77.5,80.1,19000
VC3,20100610,77,77.4,75.5,76.7,9600
VC3,20100609,75.9,77,75,76,20700
VC3,20100608,73,77.5,73,75.3,27600
VC3,20100607,74,75,74,74.7,11000
VC3,20100604,77,77,75.3,76.2,22300
VC3,20100603,75.6,77.3,75.6,76.1,22400
VC3,20100602,74.3,77,74,75.6,53100
VC3,20100601,77.5,79,76.2,77.5,40600
VC3,20100531,80,82.2,78.2,79.8,51100
VC3,20100528,84,84.7,83,84,89400
VC3,20100527,83.5,84.2,82.5,83.5,127500
VC3,20100526,83,85.2,81,83.7,149000
VC3,20100525,83,83,83,83,700
VC3,20100524,88,92.7,80.7,87.2,171900
VC3,20100521,88.8,88.8,82.5,86.7,84100
VC3,20100520,90.8,90.8,85,88.7,261100
VC3,20100519,88.1,92.5,85,88.4,300200
VC3,20100518,84,88.1,84,87.9,373000
VC3,20100517,81.5,83.3,80.5,82.4,214700
VC3,20100514,78,80.2,74.5,77.9,558800
VC3,20100513,71,76.1,71,75,447300
VC3,20100512,72,73,70,71.2,319700
VC3,20100511,70,73.5,69.5,71,285600
VC3,20100510,69.2,70.1,67.5,69.4,40500
VC3,20100507,69.2,79,68.8,69.2,380700
VC3,20100506,72,74.5,72,73.9,15200
VC3,20100505,71,73,70.5,71.5,22800
VC3,20100504,75,75,72,73.1,28100
VC3,20100429,74.5,74.9,72,73.9,52500
VC3,20100428,70,70.3,70,70,26500
VC3,20100427,72.7,72.9,72.7,72.9,3000
VC3,20100426,73.9,73.9,70,71.2,6900
VC3,20100422,73.2,74,72.5,73.3,36000
VC3,20100421,70,77,70,73.2,79700
VC3,20100420,71.5,72,71.5,72,10700
VC3,20100419,74,74,72,72.4,23100
VC3,20100416,74,76,73,74.8,152800
VC3,20100415,68.2,72.2,68,71.9,129600
VC3,20100414,67.2,68.4,67,67.5,7600
VC3,20100413,69.5,69.5,67,68.3,28700
VC3,20100412,71.2,71.2,67.3,69.9,2200
VC3,20100409,67,72,66.7,70.7,72200
VC3,20100408,67,69.7,65,67.7,32400
VC3,20100407,65,65.5,65,65.2,16000
VC3,20100406,68.1,68.1,65.2,65.7,2200
VC3,20100405,69,69,68,68.5,2100
VC3,20100402,68,68,66.5,67.4,20200
VC3,20100401,65.6,68.5,65.5,66.4,29200
VC3,20100331,64,66,64,65.1,63800
VC3,20100330,64.5,64.5,64,64.1,33000
VC3,20100329,65,66,63.5,64.4,45100
VC3,20100326,65.8,65.8,63.5,64.4,34200
VC3,20100325,65.7,65.7,64,64.4,41400
VC3,20100324,66,66.5,65,65.5,50900
VC3,20100323,67,67,65.1,66,26500
VC3,20100322,68,68,65.4,66.6,62200
VC3,20100319,69,69,67,67.6,67900
VC3,20100318,68,68.5,67,67.9,67000
VC3,20100317,68.5,69,67,67.9,67200
VC3,20100316,70.2,70.7,66.9,68.5,68600
VC3,20100315,73.9,74.2,68.8,71.6,100298
VC3,20100312,74.6,75,72.3,73.9,144900
VC3,20100311,72.5,76.2,72.5,74.6,169900
VC3,20100310,71.2,72.9,69.2,72.4,269500
VC3,20100309,66.7,71,66.2,68.1,167400
VC3,20100308,67.2,68.7,65.2,66.3,103500
VC3,20100305,66.2,67.2,65.2,66.3,81500
VC3,20100304,66.2,67.2,64.7,65.7,41400
VC3,20100303,65,69.4,64.3,64.8,72200
VC3,20100302,65.2,65.7,64.2,64.8,82000
VC3,20100301,65.2,68.4,64.4,65.5,54400
VC3,20100226,65.2,66.2,63.2,63.9,72100
VC3,20100225,64.2,65.2,63.2,63.9,47000
VC3,20100224,62.2,64.2,61.6,62.3,39000
VC3,20100223,59.2,62,59.2,60.9,25500
VC3,20100222,63.2,63.2,61.2,62.2,41700
VC3,20100212,62.5,62.5,61.7,62.2,33400
VC3,20100211,63.2,63.7,62.2,62.9,33900
VC3,20100210,62.2,63.2,61.7,62.3,42300
VC3,20100209,61.7,62.2,60.7,61.8,56000
VC3,20100208,61.2,63.2,61.2,62.1,70100
VC3,20100205,63.2,63.3,61.3,62.6,84100
VC3,20100204,63.2,64,62.9,63.3,61800
VC3,20100203,63,63.2,62.2,62.9,71800
VC3,20100202,63.2,63.7,62,62.7,53400
VC3,20100201,61.2,63,61.1,61.6,67400
VC3,20100129,57.7,63.2,57.7,60.2,91900
VC3,20100128,59.2,61.4,59.2,60.9,99700
VC3,20100127,59.2,62.2,59.2,61.1,49500
VC3,20100126,59.2,62.4,58.2,61.5,116600
VC3,20100125,58.2,58.2,58.2,58.2,1500
VC3,20100122,57.5,61.1,57.5,60,35100
VC3,20100121,59.3,60.5,55,57.6,35700
VC3,20100120,58.4,60.2,56.8,59.1,13300
VC3,20100119,60.7,60.7,58.3,60.3,11200
VC3,20100118,57.4,62.1,57.4,60.4,7600
VC3,20100115,60.2,63.6,59.2,61.7,17700
VC3,20100114,64.8,64.8,62.2,63.6,46300
VC3,20100113,61.2,64.1,58.7,63.3,38100
VC3,20100112,62.2,65.6,60.6,62.3,59900
VC3,20100111,69.2,69.2,64.2,65.2,28900
VC3,20100108,68.4,70.1,67.2,68.4,73600
VC3,20100107,67.2,70.7,67.2,68.3,71700
VC3,20100106,68.2,68.2,65.3,67.7,92000
VC3,20100105,72,72,67.2,69.1,44500
VC3,20100104,65.2,67.8,65.2,67.2,34500
VC3,20091231,62.4,65.2,61.2,63.3,63900
VC3,20091230,62,62.2,59,61.7,82400
VC3,20091229,65.1,66.7,59.2,62,99300
VC3,20091228,63.8,64.7,61.2,63.7,30000
VC3,20091225,63.7,64.1,63.2,63.8,66900
VC3,20091224,59.2,62.2,58.2,59.8,61600
VC3,20091223,57,60.7,57,59.2,25600
VC3,20091222,59.4,59.5,56.9,58.9,23800
VC3,20091221,56.7,60.7,56.2,58.4,13900
VC3,20091218,57.1,59.7,56,56.7,28700
VC3,20091217,56.1,56.1,53.2,55.9,31800
VC3,20091216,57.2,57.2,54,55.4,27200
VC3,20091215,57.2,57.2,56.2,56.8,20400
VC3,20091214,56.2,59.7,55.9,56.8,10300
VC3,20091211,57.2,57.2,54.2,55.8,32700
VC3,20091210,60.2,60.2,54.2,56.3,18000
