<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VCC,20100729,32,32.2,31.7,32.2,33700
VCC,20100728,32,33,31.8,32.2,70800
VCC,20100727,33.3,33.3,31.7,32.1,68500
VCC,20100726,32,33.4,32,32.8,70600
VCC,20100723,34,34,32.1,32.9,63400
VCC,20100722,34.5,34.5,32.9,33.3,104900
VCC,20100721,35.5,37,34.3,35.3,93700
VCC,20100720,35.2,36.5,34.6,35,91600
VCC,20100719,33.8,35.2,31,34.8,189100
VCC,20100716,30.2,34.3,30.2,32.9,153500
VCC,20100715,30.3,32.9,30.3,32.1,60100
VCC,20100714,33.2,34.8,32.1,32.5,67600
VCC,20100713,32.5,34.7,32.5,33.2,54800
VCC,20100712,31.8,33.6,31.7,32.5,95500
VCC,20100709,31,33,31,31.8,143700
VCC,20100708,33.8,36,31.5,33.1,67500
VCC,20100707,33.8,33.8,32.1,33.7,231900
VCC,20100706,31.4,31.6,30.9,31.6,296000
VCC,20100705,28.5,29.9,28.1,29.6,160900
VCC,20100702,28,28.9,27.3,28,15200
VCC,20100701,27.6,27.7,26.9,27.1,40100
VCC,20100630,27,28,27,27.6,57000
VCC,20100629,28.8,29.1,28.1,28.6,48000
VCC,20100628,29,29.6,27.9,28.7,38300
VCC,20100625,30.6,31,28.6,29.6,81000
VCC,20100624,28.8,30.7,28.8,30.6,243600
VCC,20100623,28,29.3,28,28.7,106700
VCC,20100622,29.9,29.9,28,28.9,189300
VCC,20100621,27.5,28,27.5,28,38500
VCC,20100618,25.1,27,25,26.2,117000
VCC,20100617,25.2,25.6,25,25.3,43500
VCC,20100616,26,26,25.4,25.5,50200
VCC,20100615,26.4,26.4,24.6,25.5,24300
VCC,20100614,23.2,24.8,23.2,24.7,90400
VCC,20100611,23.5,23.5,23.1,23.2,21100
VCC,20100610,24.1,24.1,22.5,23,8300
VCC,20100609,23.8,23.8,22.9,23.2,8800
VCC,20100608,22.2,23,22.2,22.5,18300
VCC,20100607,23,23,22.1,22.2,43300
VCC,20100604,23.3,24.9,23.3,23.7,14700
VCC,20100603,25.5,25.5,24,24.2,15800
VCC,20100602,24.9,24.9,23.5,23.9,11500
VCC,20100601,26.3,26.3,24.1,24.5,22300
VCC,20100531,26.8,26.8,25.8,25.9,3700
VCC,20100528,25.7,26,25.6,25.8,70000
VCC,20100527,24.2,24.9,24,24.3,13500
VCC,20100526,23.9,25.4,23.5,24.3,45900
VCC,20100525,23.4,24.1,23,23.8,15000
VCC,20100524,22.5,23.6,22.1,23,22900
VCC,20100521,24.2,24.2,22,22.1,35200
VCC,20100520,22.5,24.8,22.5,23.6,23900
VCC,20100519,25.5,25.5,23.8,23.9,55100
VCC,20100518,25.5,26.4,25.2,25.5,23300
VCC,20100517,26.8,27.8,25.8,26.3,17300
VCC,20100514,26.5,27.2,26.3,26.8,26700
VCC,20100513,27.4,27.4,25.2,25.6,38200
VCC,20100512,27.3,27.3,26.5,26.7,40200
VCC,20100511,28,28.7,27.5,28.4,81600
VCC,20100510,28,28.7,26.7,27,62100
VCC,20100507,31,32,28.1,28.7,69800
VCC,20100506,30.2,30.2,30,30.2,109600
VCC,20100505,27,28.7,27,28.3,41600
VCC,20100504,26.8,28.7,26.8,28.6,159400
VCC,20100429,27.5,28,26.3,26.9,52600
VCC,20100428,26,26.9,26,26.3,61700
VCC,20100427,26,26.4,25.9,26.1,46200
VCC,20100426,26.5,26.5,26,26.1,62300
VCC,20100422,28.6,28.8,26.8,27.9,91800
VCC,20100421,26.5,27.6,26,27,87600
VCC,20100420,25.4,26,25.4,25.8,93300
VCC,20100419,25,26.1,25,25.5,13400
VCC,20100416,24.9,25.8,24.9,25.6,105900
VCC,20100415,24.1,24.5,23.8,24.2,35600
VCC,20100414,24.8,24.8,23.8,24.1,14500
VCC,20100413,24.5,24.5,23.4,24.1,37700
VCC,20100412,27,27,24,24.7,37500
VCC,20100409,25.1,25.2,25.1,25.2,93800
VCC,20100408,23.5,23.5,23.3,23.5,50100
VCC,20100407,21.9,22.4,21.7,21.9,15100
VCC,20100406,22,22,21.5,21.6,11200
VCC,20100405,22.5,22.5,20.5,21.8,11900
VCC,20100402,21.5,21.8,21.3,21.5,8700
VCC,20100401,20.9,21.5,20.9,21.3,2800
