<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VE9,20100729,54.9,55,52.1,52.7,46600
VE9,20100728,52,55.5,51.9,52.6,90100
VE9,20100727,62.7,62.7,54.8,55.8,89400
VE9,20100726,55,58.9,55,58.6,292200
VE9,20100723,56.9,56.9,53.6,55.1,173200
VE9,20100722,54.7,58.4,54.6,56.9,182900
VE9,20100721,55,55.5,53.4,54.6,83900
VE9,20100720,54.5,56,54,54.4,86400
VE9,20100719,55,55.5,53,54.7,115700
VE9,20100716,55.8,57.1,53.3,55,101600
VE9,20100715,55.8,59.5,55.8,57.1,149500
VE9,20100714,55.8,55.8,55,55.7,286700
VE9,20100713,51.5,52.5,51,52.2,118000
VE9,20100712,49.1,52,48.8,49.1,310100
VE9,20100709,53,53,52.3,52.4,126900
VE9,20100708,60,60,55.6,56.2,159100
VE9,20100707,60,60,58,59.7,202300
VE9,20100706,56.1,56.1,56,56.1,221700
VE9,20100705,52,52.5,52,52.5,80100
VE9,20100702,48.8,51,48.8,49.1,170100
VE9,20100701,55.6,55.6,51.8,52.4,149000
VE9,20100630,51.7,59.2,51.7,55.6,428600
VE9,20100629,58,58,55.2,55.5,78200
VE9,20100628,59.5,61,59.3,59.3,385000
VE9,20100625,64.2,64.2,57,63.7,550300
VE9,20100624,60,60,60,60,130400
VE9,20100623,56.6,56.6,50,56.1,188900
VE9,20100622,52.9,52.9,52.9,52.9,20900
VE9,20100621,49.5,49.5,49.5,49.5,126900
VE9,20100618,46.3,46.3,46.2,46.3,376500
VE9,20100617,43.4,43.4,41,43.3,338300
VE9,20100616,40.6,40.6,40.6,40.6,5200
VE9,20100615,38,38,38,38,5600
VE9,20100614,35.6,35.6,35.1,35.6,225300
VE9,20100611,33.3,33.3,33.3,33.3,5700
VE9,20100610,31.2,31.2,31.2,31.2,10800
VE9,20100609,29.2,29.2,29.2,29.2,335800
VE9,20100608,27.3,27.3,27.3,27.3,100
VE9,20100607,25.6,25.6,25.6,25.6,9100
VE9,20100604,22.8,24.2,22.8,24,276200
VE9,20100603,24.1,24.2,22.6,23,286600
VE9,20100602,24.1,24.1,23.3,23.7,195500
VE9,20100601,23.5,24.3,22.8,24,368500
VE9,20100531,23.3,24.4,23.1,23.3,234600
VE9,20100528,23.4,24.7,23.4,24.4,183400
VE9,20100527,24.2,24.5,23.2,23.4,237800
VE9,20100526,25.3,25.6,23.3,24.5,181000
VE9,20100525,24.3,24.4,24.2,24.4,109400
VE9,20100524,23.1,23.2,23.1,23.2,57400
VE9,20100521,22,22,20.3,22,158600
VE9,20100520,20.7,21.1,19.5,20.9,163800
VE9,20100519,19.4,20.5,18.8,20,282700
VE9,20100518,20.1,20.1,19.1,19.4,128100
VE9,20100517,19.9,20.1,19.9,20.1,123600
VE9,20100514,19.5,20,18.4,19.2,175300
VE9,20100513,19.3,19.3,19.1,19.3,366400
VE9,20100512,18.4,18.4,18.3,18.4,478900
VE9,20100511,17.5,17.5,17.5,17.5,51700
VE9,20100510,16.7,16.7,16.7,16.7,71000
VE9,20100507,15.9,15.9,15.9,15.9,72300
VE9,20100506,15.2,15.2,15.2,15.2,13500
VE9,20100505,14.6,14.6,14.4,14.6,55000
VE9,20100504,14,14,13.9,14,89400
VE9,20100429,12.9,13.4,12.6,13.3,75200
VE9,20100428,12.8,13,12.8,12.9,15000
VE9,20100427,12.8,12.8,12.8,12.8,13200
VE9,20100426,13,13,13,13,18900
VE9,20100422,13.6,13.8,12.7,13.6,57400
VE9,20100421,13.4,13.4,13,13.2,51500
VE9,20100420,12.7,12.9,12.7,12.9,48000
VE9,20100419,12.3,12.8,12,12.4,36500
VE9,20100416,12.2,12.4,12.2,12.3,12100
VE9,20100415,12.1,12.3,12.1,12.2,12500
VE9,20100414,12,12.1,12,12,2900
VE9,20100413,12,12,12,12,3100
VE9,20100412,12.4,12.4,12,12,16300
VE9,20100409,12.7,12.7,12.3,12.5,16300
VE9,20100408,12.6,12.7,12.5,12.7,19900
VE9,20100407,11.9,12.2,11.9,12.1,16700
VE9,20100406,12,12.1,11.6,11.7,15900
VE9,20100405,12,12,11.9,12,4800
VE9,20100402,12.1,12.1,12,12,3500
VE9,20100401,12.1,12.1,12.1,12.1,26100
VE9,20100331,12,12,11.9,12,2500
VE9,20100330,11.9,12,11.9,11.9,15300
VE9,20100329,12,12,11.9,12,3000
VE9,20100326,12.2,12.2,11.8,12,10900
VE9,20100325,12.5,12.5,12.1,12.2,9400
VE9,20100324,12.4,12.5,12.4,12.5,2900
VE9,20100323,12.5,12.5,12.3,12.4,4900
VE9,20100322,12.9,12.9,12.5,12.7,4000
VE9,20100319,12.6,12.6,12.4,12.5,4500
VE9,20100318,12.3,12.6,12.2,12.4,5300
VE9,20100317,12.5,12.5,12.1,12.2,4700
VE9,20100316,12.6,12.6,12.4,12.5,12300
VE9,20100315,13,13,12.9,13,21000
VE9,20100312,12.9,13,12.8,12.9,17700
VE9,20100311,12.8,12.9,12.7,12.8,15100
VE9,20100310,13,13,12.7,12.8,16100
VE9,20100309,13,13.3,13,13.1,14100
VE9,20100308,12.6,13.1,12.6,13,80400
VE9,20100305,12,12.7,12,12.6,57600
VE9,20100304,12.1,12.3,12.1,12.2,32800
VE9,20100303,11.8,12.1,11.5,11.9,14800
VE9,20100302,12.3,12.3,11.8,11.9,3100
VE9,20100301,12,12,12,12,100
VE9,20100226,11.9,11.9,11.6,11.8,10100
VE9,20100225,12.1,12.1,11.7,11.8,5200
VE9,20100224,11.6,11.7,11.6,11.7,8100
VE9,20100223,11.4,11.4,11.2,11.3,10900
VE9,20100222,11.6,11.6,11.3,11.4,12800
VE9,20100212,11.9,11.9,11.6,11.7,500
VE9,20100211,11.8,11.8,11.8,11.8,200
VE9,20100210,11.6,11.7,11.5,11.6,8300
VE9,20100209,11.4,11.6,11.3,11.4,7500
VE9,20100208,11.6,12,11.6,11.8,1000
VE9,20100205,11.8,12.5,11.7,11.9,17100
VE9,20100204,12.4,12.4,11.7,12.2,6200
VE9,20100203,11.8,12.5,11.8,12.1,400
VE9,20100202,12.2,12.2,12.1,12.2,7600
VE9,20100201,12.5,12.5,12,12.2,15000
VE9,20100129,12.2,12.2,12.1,12.2,4800
VE9,20100128,11.8,11.8,11.8,11.8,6600
VE9,20100127,12.8,12.8,12.1,12.3,3000
VE9,20100126,12.5,12.6,12.5,12.6,26300
VE9,20100125,12,12.1,12,12,13000
VE9,20100122,11.8,12.1,11.4,11.6,3500
VE9,20100121,11.8,11.9,11.8,11.8,28400
VE9,20100120,12.8,12.8,12.1,12.3,8000
VE9,20100119,12.1,12.6,12.1,12.3,14300
VE9,20100118,12.3,12.4,12.1,12.1,36700
VE9,20100115,13,13,12.6,12.7,23300
VE9,20100114,13.5,13.5,13,13.1,13700
VE9,20100113,12.3,13.2,12.3,13,49200
VE9,20100112,12.6,13.4,12.6,12.8,105000
VE9,20100111,13.2,13.2,13.2,13.2,10000
VE9,20100108,14.7,14.7,13.4,13.8,55700
VE9,20100107,14.1,14.1,13.9,14.1,31700
VE9,20100106,13.6,13.6,13,13.5,45500
VE9,20100105,13,13,13,13,9100
VE9,20100104,12.5,12.5,12.5,12.5,1200
VE9,20091231,11.8,12,11.8,12,26300
VE9,20091230,11.5,11.6,11.5,11.6,7500
VE9,20091229,11.8,11.8,11.5,11.5,9900
VE9,20091228,12.1,12.1,11.8,12,1600
VE9,20091225,11.8,11.9,11.6,11.9,38200
VE9,20091224,11.3,11.7,11.3,11.4,21500
VE9,20091223,11.2,11.4,11.2,11.3,2700
VE9,20091222,11.6,11.6,10.9,11.1,9800
VE9,20091221,11.3,11.3,11.3,11.3,14500
VE9,20091218,10.9,10.9,10.8,10.9,14100
VE9,20091217,10.7,10.7,10.5,10.6,20400
VE9,20091216,10.9,10.9,10.9,10.9,8900
VE9,20091215,11.4,11.6,11,11.3,11800
VE9,20091214,11.2,11.2,11.2,11.2,17300
VE9,20091211,11.1,11.1,10.7,10.8,13900
VE9,20091210,11.1,11.2,10.9,11.1,49400
VE9,20091209,10.7,10.7,10.7,10.7,10600
VE9,20091208,11.9,11.9,11.1,11.2,8700
VE9,20091207,11.3,11.9,11.3,11.5,500
VE9,20091204,11.2,11.6,11.2,11.5,2600
VE9,20091203,11.6,11.9,11.5,11.5,20400
VE9,20091202,12.5,12.5,11.5,12,34500
VE9,20091201,12,12,12,12,16900
VE9,20091130,11.3,12,11.2,11.5,22800
VE9,20091127,11.5,12.4,11.5,11.6,33800
VE9,20091126,12,12,12,12,14900
VE9,20091125,12.5,13.1,12.4,12.5,21200
VE9,20091124,13.5,13.6,12.6,12.9,21100
VE9,20091123,13.3,13.3,13.1,13.2,12000
VE9,20091120,14.4,14.4,13.3,13.7,22300
VE9,20091119,13.8,14,13.3,13.9,30700
VE9,20091118,13.5,13.7,13.1,13.3,19100
VE9,20091117,14,14,13.4,13.7,3300
VE9,20091116,14.3,14.3,14,14,18200
VE9,20091113,13.6,14.1,13.3,13.8,17200
VE9,20091112,13.2,13.8,13.1,13.6,34800
VE9,20091111,13.1,13.5,12.8,13.2,26800
VE9,20091110,13.3,14.2,13.3,13.4,28900
VE9,20091109,14,14.7,14,14,7000
VE9,20091106,14.7,14.7,14.4,14.7,85800
VE9,20091105,13.2,14.4,13.2,14,70300
VE9,20091104,13.8,13.8,13.8,13.8,2300
VE9,20091103,14.9,14.9,14.4,14.5,12500
VE9,20091102,15,15.8,15,15.1,11300
VE9,20091030,15.6,17.2,15.6,15.7,86500
VE9,20091029,16.4,16.4,16.4,16.4,5600
VE9,20091028,17.2,17.2,17.2,17.2,16600
VE9,20091027,19.1,19.1,17.8,18.1,70100
VE9,20091026,18.8,18.8,18.1,18.8,153400
VE9,20091023,17.9,17.9,17.9,17.9,123700
VE9,20091022,17.1,17.1,16.7,17.1,237500
VE9,20091021,17.1,17.1,16,16.3,41300
VE9,20091020,16.3,16.3,16.3,16.3,98200
VE9,20091019,15.5,15.6,15.5,15.6,47200
VE9,20091016,14.9,14.9,14.5,14.9,108100
VE9,20091015,14.2,14.2,14.2,14.2,58900
VE9,20091014,13.6,13.6,13.6,13.6,12900
VE9,20091013,13.1,13.1,13.1,13.1,46100
VE9,20091012,12.6,12.6,12.6,12.6,25100
VE9,20091009,11.9,12.1,11.6,12,37600
VE9,20091008,11.9,11.9,11.5,11.6,14300
VE9,20091007,11.8,11.8,11.6,11.6,5100
VE9,20091006,12.1,12.1,11.6,11.8,3800
VE9,20091005,12,12,11.8,12,2300
VE9,20091002,12.3,12.3,11.5,11.7,7000
VE9,20091001,12.1,12.4,11.7,12,9400
VE9,20090930,12.3,12.3,12,12.1,8300
VE9,20090929,12.1,12.4,12,12.3,5100
VE9,20090928,11.9,12.1,11.8,12,6400
VE9,20090925,12.2,12.2,12.1,12.1,8000
VE9,20090924,12.6,12.6,12,12.2,6700
VE9,20090923,12.5,12.7,12.2,12.6,16300
VE9,20090922,12.2,12.2,12.1,12.2,27200
VE9,20090921,11.6,11.8,11.6,11.8,22600
VE9,20090918,11.3,11.4,11.3,11.3,6800
VE9,20090917,11.5,11.5,11.3,11.4,3500
VE9,20090916,11.5,11.5,11.4,11.4,3200
VE9,20090915,11.3,11.3,11.2,11.2,4700
VE9,20090914,11.3,11.4,11.1,11.2,4400
VE9,20090911,11.4,11.4,11,11,2700
VE9,20090910,11.2,11.2,11.2,11.2,100
VE9,20090909,11.3,11.3,11.1,11.1,3800
VE9,20090908,11.2,11.2,11,11,2900
VE9,20090907,11.3,11.3,10.8,11,2100
VE9,20090904,11.1,11.1,11,11.1,2400
VE9,20090903,11.8,11.8,11.2,11.3,1300
VE9,20090901,11.7,11.7,11.4,11.5,1000
VE9,20090831,11.4,11.4,11.4,11.4,4600
VE9,20090828,11.3,11.3,11.1,11.1,11300
VE9,20090827,11.2,11.4,10.9,11,7000
VE9,20090826,11.4,11.4,11.2,11.4,400
VE9,20090825,11.3,11.4,10.8,11.3,400
VE9,20090824,11.8,11.8,11.2,11.3,1700
VE9,20090821,11.7,11.8,11.2,11.5,800
VE9,20090820,11.5,11.5,11.5,11.5,1500
VE9,20090819,11.2,11.3,11.1,11.2,4200
VE9,20090818,11.3,11.3,10.9,11,2300
VE9,20090817,11.3,11.3,11.3,11.3,3600
VE9,20090813,11.9,11.9,11.6,11.7,700
VE9,20090811,11.8,11.8,11.8,11.8,600
VE9,20090810,11.4,11.6,11.3,11.5,1300
VE9,20090807,11.6,11.9,11.4,11.7,800
VE9,20090805,11.6,11.6,11.6,11.6,300
VE9,20090804,11.4,11.4,10.9,11.3,1600
VE9,20090803,11.4,11.6,10.9,11.1,1900
VE9,20090731,11.4,11.4,11.4,11.4,1400
VE9,20090729,11.8,11.9,11.8,11.9,600
VE9,20090728,12,12,12,12,100
VE9,20090727,11.8,11.8,11.6,11.6,2100
VE9,20090724,11.7,11.9,11.5,11.6,14100
VE9,20090721,11.7,11.7,11.7,11.7,100
VE9,20090720,11.7,11.7,11.7,11.7,100
VE9,20090717,11.5,11.5,11.5,11.5,100
VE9,20090716,11.5,11.5,11.1,11.1,1500
