<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VID,20100729,14.1,14.8,14.1,14.4,237000
VID,20100728,14.7,14.7,14.2,14.2,599310
VID,20100727,15.2,15.4,14.6,14.9,497400
VID,20100726,15.4,15.7,15.2,15.2,210120
VID,20100723,15.5,15.7,15.3,15.4,289310
VID,20100722,16.3,16.3,15.5,15.6,448310
VID,20100721,15.9,16.3,15.7,16.3,1700590
VID,20100720,15.8,15.9,15.6,15.6,673040
VID,20100719,15.3,15.8,15.3,15.5,615220
VID,20100716,15.2,16,15.2,15.3,599270
VID,20100715,15.5,15.8,15.3,15.3,403450
VID,20100714,16,16,15.5,15.5,393160
VID,20100713,16,16,15.3,15.7,591450
VID,20100712,15.5,15.9,14.8,15.7,309990
VID,20100709,14.8,15.5,14.8,15.5,437120
VID,20100708,15.8,15.8,14.8,14.8,383990
VID,20100707,16.5,16.5,15.4,15.4,846520
VID,20100706,16.2,16.9,16,16.2,1025840
VID,20100705,16.6,16.8,16.1,16.2,598790
VID,20100702,16.3,16.8,16,16.6,355250
VID,20100701,16,16.8,16,16.3,1636130
VID,20100630,14.9,16,14.9,16,1623530
VID,20100629,16.3,16.3,15.3,15.3,1044310
VID,20100628,15.6,15.6,15.6,15.6,265030
VID,20100625,14.9,14.9,14.8,14.9,743330
VID,20100624,13.8,14.2,13.6,14.2,1958110
VID,20100623,13.6,14,13.4,13.5,728550
VID,20100622,14.2,14.2,13.4,14,1065400
VID,20100621,13.4,13.9,13.2,13.9,806320
VID,20100618,13.6,14,13.3,13.4,593310
VID,20100617,13.3,13.8,13,13.8,1462440
VID,20100616,12.8,13.2,12.6,13.2,970060
VID,20100615,12.5,12.8,12.5,12.6,251110
VID,20100614,12.7,12.8,12.5,12.8,393340
VID,20100611,12.6,12.6,12.3,12.5,432030
VID,20100610,11.8,12.4,11.8,12.3,230330
VID,20100609,12.2,12.2,11.8,12.1,175700
VID,20100608,12.2,12.3,11.8,11.9,347390
VID,20100607,12.4,12.5,12.3,12.3,551230
VID,20100604,13,13.3,12.7,12.9,983170
VID,20100603,13.3,13.3,13.3,13.3,241720
VID,20100602,12.5,12.7,12.5,12.7,536380
VID,20100601,11.5,12.2,11.5,12.1,418310
VID,20100531,12.1,12.1,11.8,11.8,346930
VID,20100528,12.2,12.2,12,12.2,1002990
VID,20100527,11.6,11.7,11.3,11.7,177320
VID,20100526,11.3,11.7,11.1,11.7,352420
VID,20100525,10.9,11.4,10.9,11.2,337920
VID,20100524,11.3,11.3,10.7,10.9,179990
VID,20100521,11.2,11.3,11.2,11.2,565820
VID,20100520,11.1,11.7,11.1,11.7,274160
VID,20100519,11.4,11.7,11.4,11.4,728090
VID,20100518,11.8,12.1,11.8,12,171680
VID,20100517,12.3,12.3,11.7,11.8,281170
VID,20100514,12.2,12.4,11.9,12.3,287910
VID,20100513,12,12.4,11.8,11.9,715990
VID,20100512,12.3,12.4,12.3,12.3,616260
VID,20100511,13.9,13.9,12.9,12.9,528470
VID,20100510,14.1,14.1,13.4,13.5,929120
VID,20100507,14.5,14.6,13.8,14.1,1560050
