<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VIP,20100729,16.8,17.1,16.8,16.9,93540
VIP,20100728,17.9,18,17.1,17.1,110500
VIP,20100727,18.1,18.3,18,18,93480
VIP,20100726,18.4,18.4,18.2,18.2,67920
VIP,20100723,18.5,18.6,18.4,18.4,71040
VIP,20100722,18.6,18.6,18.5,18.5,100950
VIP,20100721,18.9,18.9,18.8,18.8,98990
VIP,20100720,19,19,18.9,18.9,88540
VIP,20100719,19.3,19.3,18.9,19,76390
VIP,20100716,19.1,19.4,19.1,19.1,56250
VIP,20100715,19,19.5,19,19.2,99740
VIP,20100714,19.7,19.7,19.2,19.2,109920
VIP,20100713,19.6,19.7,19.2,19.7,86440
VIP,20100712,19,19.2,18.9,19.2,45710
VIP,20100709,19,19.3,19,19,27750
VIP,20100708,19.2,19.2,18.7,19.2,141250
VIP,20100707,18.9,19.2,18.8,18.8,217640
VIP,20100706,19.1,19.4,18.9,18.9,113580
VIP,20100705,19.1,19.5,19,19.5,94810
VIP,20100702,19.1,19.2,19,19.1,69060
VIP,20100701,19,19.1,19,19.1,83850
VIP,20100630,19,19.3,19,19.1,194580
VIP,20100629,19.2,19.7,19.2,19.3,127280
VIP,20100628,19.5,19.5,19.2,19.2,121710
VIP,20100625,19.8,19.9,19.3,19.3,141400
VIP,20100624,20,20.6,20,20,107360
VIP,20100623,20.3,20.8,20.2,20.2,126790
VIP,20100622,21.2,21.5,20.5,21,549510
VIP,20100621,19.8,20.5,19.6,20.5,493980
VIP,20100618,20.1,20.4,19.6,19.6,222820
VIP,20100617,19.4,20.3,19.4,20.3,609950
VIP,20100616,19.7,19.7,19.2,19.4,145260
VIP,20100615,19.5,19.6,19.1,19.2,154240
VIP,20100614,18.9,19.1,18.9,19.1,160620
VIP,20100611,19.3,19.3,18.9,18.9,107260
VIP,20100610,18.6,19.1,18.6,18.9,85630
VIP,20100609,19,19,18.7,18.8,145480
VIP,20100608,18.8,18.8,18.5,18.6,91720
VIP,20100607,18.5,19,18.5,18.8,259890
VIP,20100604,19.3,19.5,19.1,19.2,137340
VIP,20100603,20,20,19.5,19.5,172030
VIP,20100602,19.5,20,19.3,19.7,108540
VIP,20100601,19.4,20,19.4,19.7,101620
VIP,20100531,20.3,20.3,19.7,19.7,155080
VIP,20100528,20.1,20.3,19.8,20.3,294690
VIP,20100527,20,20,19,19.4,43690
VIP,20100526,19,19.5,19,19.5,147240
VIP,20100525,18.9,19.4,18.9,19.3,69930
VIP,20100524,19.5,19.5,18.7,19,67380
VIP,20100521,19,19.3,19,19,467870
VIP,20100520,18.9,19.9,18.6,19.9,168320
VIP,20100519,19.5,19.6,19,19,463220
VIP,20100518,20.2,20.2,19.7,20,157190
VIP,20100517,20.7,21.2,20.2,20.2,276290
VIP,20100514,21.6,21.6,20.9,21.2,210370
VIP,20100513,21.6,21.8,20.8,20.9,260010
VIP,20100512,22,22.3,21.8,21.8,423800
VIP,20100511,23.5,23.5,22.3,22.9,234710
VIP,20100510,23.5,23.6,22.8,22.8,312730
VIP,20100507,24,24.2,22.8,23.9,437830
VIP,20100506,23,24,23,24,816520
VIP,20100505,23,23.7,22.7,22.9,387620
VIP,20100504,23.7,24,23,23.7,640130
VIP,20100429,24,24.5,23.7,23.7,588350
VIP,20100428,23.7,23.7,23,23.7,894630
