<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VIX,20100729,17.5,18,17.4,17.5,4500
VIX,20100728,18.8,18.9,17.6,18.6,14100
VIX,20100727,17.8,18,17.7,17.9,11500
VIX,20100726,17.8,17.8,17.5,17.7,10900
VIX,20100723,17.9,17.9,17.7,17.8,5800
VIX,20100722,18.1,18.1,17.6,17.8,27900
VIX,20100721,18.2,18.4,17.8,18.1,19200
VIX,20100720,18.6,18.6,17.6,17.8,18700
VIX,20100719,18.1,18.1,17.7,18,19000
VIX,20100716,18,18.3,18,18.1,14500
VIX,20100715,19,19,18,18.2,2600
VIX,20100714,18,19.9,18,18.8,40900
VIX,20100713,18.5,19.1,17.8,18.6,38300
VIX,20100712,18.5,18.5,17.5,17.9,6200
VIX,20100709,18,18.3,18,18.2,5800
VIX,20100708,18,18.4,17.8,18,18300
VIX,20100707,18,18.2,17.5,18,4000
VIX,20100706,18.1,18.1,18,18,5800
VIX,20100705,18.1,18.3,18,18.1,16600
VIX,20100702,19,19,18.5,18.7,14500
VIX,20100701,19.1,19.1,19,19.1,1200
VIX,20100630,19,19,19,19,3100
VIX,20100629,20,20,19,19.2,8100
VIX,20100628,19,19.4,19,19.1,5300
VIX,20100625,19.1,19.1,18.8,19,15300
VIX,20100624,19.3,20,19.3,19.4,21400
VIX,20100623,19.1,19.5,19,19.2,10700
VIX,20100622,20.4,20.4,19.5,19.9,9200
VIX,20100621,19.5,20.4,19.5,19.9,5000
VIX,20100618,19.6,20.3,19.6,20.1,13300
VIX,20100617,21,21,19.7,20,11600
VIX,20100616,20.3,20.8,20.1,20.6,25400
VIX,20100615,20.5,20.5,19,19.5,16100
VIX,20100614,20,20.1,19.8,20,27800
VIX,20100611,20.1,20.6,19.6,20,10100
VIX,20100610,20,20.1,20,20.1,4200
VIX,20100609,20.7,20.7,19.5,20.1,31800
VIX,20100608,20.4,21,19.5,20.6,24700
VIX,20100607,20.4,20.6,20.4,20.4,9900
VIX,20100604,21.5,22,21,21.9,52800
VIX,20100603,21.9,23,21.7,22,124500
VIX,20100602,22,23,21.8,22,110000
VIX,20100601,21.8,22.4,21.7,21.9,123200
VIX,20100531,22.5,22.5,20.6,21.8,99500
VIX,20100528,22,22.2,21.8,22.1,140100
VIX,20100527,20,21,20,20.8,30800
VIX,20100526,19.5,20.4,19.5,20.3,57200
VIX,20100525,18.8,19.3,18.6,19.1,56300
VIX,20100524,18.9,19,17.1,18.1,51300
VIX,20100521,19.1,19.1,17.8,17.9,94100
VIX,20100520,18.4,20,18.4,19.1,90800
VIX,20100519,20.1,20.1,19.7,19.7,36800
VIX,20100518,20.6,21.6,20.4,21.1,67300
VIX,20100517,22,22.6,20.6,21.6,67300
VIX,20100514,22,22.5,21,21.8,82100
VIX,20100513,20.3,23,20.3,21.2,266200
VIX,20100512,23.2,23.2,21.7,21.8,57800
VIX,20100511,24.9,24.9,23.2,23.3,187400
VIX,20100510,24.8,26.5,23.2,24.9,193400
VIX,20100507,24,24.9,23.3,24.8,467500
VIX,20100506,22.4,23.4,22.4,23.3,146300
VIX,20100505,22.1,22.1,21,21.9,232800
VIX,20100504,20.5,20.7,20.5,20.7,73100
VIX,20100429,19,19.7,19,19.4,139400
VIX,20100428,19.1,19.2,18.7,19,59300
VIX,20100427,19.3,19.9,19,19.3,38200
VIX,20100426,19.5,19.5,19,19.3,49900
VIX,20100422,18.6,19.5,18.6,19.4,161500
VIX,20100421,18.2,18.7,18,18.3,139600
VIX,20100420,18.5,18.6,18.2,18.4,39500
VIX,20100419,18.7,18.7,18.2,18.5,39200
VIX,20100416,18.8,18.8,18.6,18.7,19200
VIX,20100415,18.7,18.9,18.4,18.6,41200
VIX,20100414,18.5,18.9,18.3,18.5,40600
VIX,20100413,19,19.1,18.5,18.8,50100
VIX,20100412,18.9,19,18.7,18.9,47400
VIX,20100409,19.1,19.5,18.8,19.1,40600
VIX,20100408,19,19.1,18.8,18.9,37500
VIX,20100407,20,20,18.7,19,34800
VIX,20100406,18.6,19.5,18.5,18.9,77400
VIX,20100405,18.5,18.6,18.1,18.3,88600
VIX,20100402,18.5,18.7,18.1,18.4,15300
VIX,20100401,18.4,18.9,18.1,18.5,33500
VIX,20100331,18.5,18.7,18.1,18.3,17200
VIX,20100330,18.9,18.9,17.7,18.1,126300
VIX,20100329,18.5,18.9,18.3,18.6,121500
VIX,20100326,19.3,19.5,18.3,18.9,159600
VIX,20100325,20.3,20.3,19.2,19.5,76600
VIX,20100324,20.5,20.6,19.9,20.3,24000
VIX,20100323,20.5,20.6,19.7,19.9,99500
VIX,20100322,21,21,20.1,20.5,113800
VIX,20100319,22,22,20.8,21,68700
VIX,20100318,21.6,22.5,21,21.4,38500
VIX,20100317,21,21.6,20.6,21.1,57100
VIX,20100316,21.5,22,20.5,20.8,50700
VIX,20100315,22.2,22.5,21.4,21.8,30600
VIX,20100312,22.8,22.8,21.5,22.1,55600
VIX,20100311,22.4,22.4,21.9,22,21800
VIX,20100310,22.8,23.2,22,22.3,63000
VIX,20100309,25,25,22.8,23.6,34100
VIX,20100308,23,23.8,23,23.7,143300
VIX,20100305,22.5,22.5,21.7,22.3,35000
VIX,20100304,22.7,23,21.9,22.6,53000
VIX,20100303,22.5,22.5,21.7,21.9,41800
VIX,20100302,21.8,21.9,21.5,21.7,51200
VIX,20100301,23,23.2,22.6,23.1,63300
VIX,20100226,20.2,21.8,20,21.7,104800
VIX,20100225,21.3,21.4,20,20.4,31500
VIX,20100224,21.4,21.4,20,20.2,72100
VIX,20100223,21.6,21.6,21.4,21.4,17700
VIX,20100222,23,23,22.7,23,17100
VIX,20100212,22,22.9,22,22.3,14700
VIX,20100211,22.2,22.2,21.3,21.5,11800
VIX,20100210,20.9,21.3,20.6,21.1,3800
VIX,20100209,22.3,22.5,19.7,20.7,64900
VIX,20100208,22,22,21,21.1,33300
VIX,20100205,22.2,22.9,21.6,22.5,17800
VIX,20100204,23,23,21.2,22.1,45800
VIX,20100203,22.6,22.6,21.7,22,66500
VIX,20100202,25,25,22.6,23.3,21700
VIX,20100201,25.1,25.1,23.4,24,61900
VIX,20100129,25.5,25.7,24,25.1,10900
VIX,20100128,25.6,25.6,24,24.4,31500
VIX,20100127,26.7,26.7,25.5,25.6,11900
VIX,20100126,25,25.6,25,25.4,37400
VIX,20100125,24.9,24.9,23,24,29700
VIX,20100122,22.6,24.6,22.6,23.5,15700
VIX,20100121,25,25.2,22.6,24.1,18600
VIX,20100120,25.5,26,23.8,24.1,52700
VIX,20100119,25.5,26,25,25.5,23300
VIX,20100118,26,26,24.9,25,60500
VIX,20100115,27.1,28,26.5,26.6,40100
VIX,20100114,28.9,29,28,28.4,42400
VIX,20100113,29.5,29.5,26.5,27.3,136900
VIX,20100112,30,30,28.1,28.4,127700
VIX,20100111,32.8,32.8,29.8,30.2,163000
VIX,20100108,32.8,32.8,30,32,349400
VIX,20100107,30.9,30.9,29.8,30.7,95900
VIX,20100106,29.3,29.3,27.4,28.9,243500
VIX,20100105,27.4,27.4,27.4,27.4,61300
VIX,20100104,25.3,27,24,25.7,177700
VIX,20091231,27,27,25,25.3,86600
VIX,20091230,27,28.3,26.4,26.8,74500
VIX,20091229,30,30,25,28.3,96300
