<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VMG,20100729,17.1,17.6,16.9,17.3,164600
VMG,20100728,17.6,18,16.9,17.1,373000
VMG,20100727,17.5,18.8,17.5,18.1,356100
VMG,20100726,18.9,18.9,17.6,17.9,492300
VMG,20100723,20,20,18.1,18.9,301300
VMG,20100722,18.5,19.9,18,19.2,792900
VMG,20100721,18.5,19.5,18.5,18.6,689300
VMG,20100720,20,20,19,19.8,1296600
VMG,20100719,18.6,18.7,18,18.7,404100
VMG,20100716,16.9,17.9,16.8,17.5,849800
VMG,20100715,17.2,17.2,16.6,16.8,168500
VMG,20100714,17.5,17.9,16.9,17.3,196400
VMG,20100713,17,17.4,16.8,17.1,228800
VMG,20100712,16.7,16.9,16.4,16.7,93000
VMG,20100709,16.9,16.9,16.5,16.7,161800
VMG,20100708,17.4,17.4,16.6,16.9,211200
VMG,20100707,17,17.3,16.5,16.9,145200
VMG,20100706,17.8,17.9,16.5,16.9,226400
VMG,20100705,16.8,18,16.7,17.6,439600
VMG,20100702,16.9,17.2,16.7,17,204400
VMG,20100701,17,17,16.3,16.6,155300
VMG,20100630,17.4,17.4,16.5,16.8,317900
VMG,20100629,16.8,17.8,16.8,17.6,611500
VMG,20100628,16.3,17.1,16.3,16.7,180700
VMG,20100625,17.2,17.2,16.3,16.7,389400
VMG,20100624,17.5,17.5,16.9,17.2,455500
VMG,20100623,16.5,17.3,16.3,16.9,286200
VMG,20100622,17.7,18.9,16.5,17.3,486300
VMG,20100621,17.7,17.7,17.5,17.7,394100
VMG,20100618,15.7,16.7,15.6,16.6,750800
VMG,20100617,15.9,15.9,15.5,15.7,216500
VMG,20100616,16,16.3,15.4,15.9,332800
VMG,20100615,15.8,15.9,15.4,15.6,408200
VMG,20100614,15.8,16,15.2,15.5,216900
VMG,20100611,15.1,15.7,15,15.3,228800
VMG,20100610,15.2,15.2,14.1,14.7,179600
VMG,20100609,15.2,15.5,14.7,15,121300
VMG,20100608,14.5,15.2,14.5,14.9,202500
VMG,20100607,14.8,15,14.8,14.8,230000
VMG,20100604,16.8,16.9,15.5,15.9,334700
VMG,20100603,15.8,15.8,15.8,15.8,140900
VMG,20100602,14.7,15,14.6,14.8,168200
VMG,20100601,14.5,15.4,14.3,14.7,213700
VMG,20100531,17,17,14.8,15.2,396900
VMG,20100528,15.9,15.9,15.9,15.9,81800
VMG,20100527,15,15,14.1,14.9,385700
VMG,20100526,13.5,14.2,13.5,14.1,85200
VMG,20100525,12.5,13.5,11.9,13.3,350000
VMG,20100524,12.7,13,12.6,12.7,489900
VMG,20100521,13.5,13.5,13.5,13.5,123500
VMG,20100520,14.3,15.2,14.3,14.5,635000
VMG,20100519,16.3,16.3,15.2,15.3,108300
VMG,20100518,17.9,18.2,16,16.3,192300
VMG,20100517,17.3,17.3,16.8,17.2,554700
VMG,20100514,15.8,17.8,15.8,16.2,1603000
VMG,20100513,16.9,16.9,16.9,16.9,56000
VMG,20100512,18.1,18.1,18.1,18.1,83100
VMG,20100511,19.3,20.5,19.3,19.4,511100
VMG,20100510,23,23,20.6,20.7,354300
VMG,20100507,21.3,24.3,21.3,22.1,1164900
VMG,20100506,20.9,22.8,20.9,22.8,421500
VMG,20100505,21.4,21.4,20.7,21.4,1706400
VMG,20100504,20,20,20,20,152400
VMG,20100429,18.9,19.7,17.3,18.7,1359500
VMG,20100428,19.2,19.8,17.4,18.5,331900
VMG,20100427,18.2,20,18.2,18.7,1127400
VMG,20100426,19.5,19.5,19.5,19.5,6600
VMG,20100422,21,21.7,18.9,20.9,1147900
VMG,20100421,20.3,20.3,19.3,20.3,915800
VMG,20100420,19,19,18.9,19,355500
VMG,20100419,17.8,18.5,16.5,17.8,1582300
VMG,20100416,17.2,17.3,17,17.3,268000
VMG,20100415,16.1,16.2,15.7,16.2,503000
VMG,20100414,15.3,15.3,14,15.2,563700
VMG,20100413,14.3,14.3,13.4,14.3,1928800
VMG,20100412,13.4,13.4,13.4,13.4,163200
VMG,20100409,12.6,12.6,12.3,12.6,179400
VMG,20100408,11.3,11.9,11.3,11.8,166600
VMG,20100407,11.4,11.5,11,11.2,126600
VMG,20100406,11.7,11.7,11,11.4,91000
VMG,20100405,11.9,11.9,11.3,11.4,85700
VMG,20100402,12.2,12.3,11.5,11.7,86000
VMG,20100401,11.7,11.7,11,11.5,112200
VMG,20100331,11.4,11.5,10.8,11,174200
VMG,20100330,12.5,12.5,11.2,11.6,81500
VMG,20100329,11.8,12.2,11.5,11.8,304800
VMG,20100326,12.8,12.8,12.1,12.2,98100
VMG,20100325,13.2,13.2,12.4,13,697100
VMG,20100324,12.4,12.4,12.4,12.4,118000
VMG,20100323,11.5,11.7,11.2,11.6,277500
VMG,20100322,10.7,11.3,10.6,11,235300
VMG,20100319,10.6,10.7,10.3,10.6,38300
VMG,20100318,10.7,10.8,10.3,10.6,75200
VMG,20100317,10.9,10.9,10.3,10.4,35500
VMG,20100316,11,11,10.3,10.4,67400
VMG,20100315,11.2,11.2,10.8,11,59000
VMG,20100312,10.9,11.2,10.6,10.9,61800
VMG,20100311,11.4,11.4,10.7,10.9,38200
VMG,20100310,11.7,11.7,11,11.4,46300
VMG,20100309,11.4,11.6,10.9,11.4,173600
VMG,20100308,10.4,11,10.3,10.9,152400
VMG,20100305,10.3,10.4,10.2,10.3,53600
VMG,20100304,10.5,10.6,10.2,10.4,77400
VMG,20100303,10.3,10.6,10.2,10.4,73700
VMG,20100302,10.4,10.7,10.4,10.6,33800
VMG,20100301,10,10.9,10,10.3,62400
VMG,20100226,10.3,10.4,10.2,10.3,8000
VMG,20100225,10.5,10.5,10.1,10.3,7800
VMG,20100224,10.3,10.4,10.2,10.3,12900
VMG,20100223,10.2,10.3,10.2,10.2,24900
VMG,20100222,10.5,10.5,10.3,10.5,9000
VMG,20100212,10.2,10.5,10,10.4,7600
VMG,20100211,10.2,10.5,10.1,10.2,32500
VMG,20100210,10.2,10.4,10.2,10.3,9500
VMG,20100209,10.4,10.4,10.1,10.2,27800
VMG,20100208,10,10.4,10,10.2,27600
VMG,20100205,10.3,10.6,10.3,10.4,12800
VMG,20100204,10.6,11,10.5,10.7,18800
VMG,20100203,10.9,10.9,10.6,10.6,29700
VMG,20100202,10.6,10.7,10.4,10.6,27500
VMG,20100201,11,11,10.3,10.6,20000
VMG,20100129,10.6,10.9,10.3,10.5,22800
VMG,20100128,10.5,10.5,10.2,10.3,34100
VMG,20100127,11.3,11.3,10.5,10.7,28200
VMG,20100126,10.7,11.1,10.7,11,44300
VMG,20100125,10.2,10.7,10.2,10.4,14100
VMG,20100122,10.3,10.5,10,10.2,36000
VMG,20100121,10.4,10.7,10.2,10.4,40900
VMG,20100120,11.1,11.1,10.6,10.9,13300
VMG,20100119,11,11.2,11,11.1,30000
VMG,20100118,11.1,11.5,10.8,11,48200
VMG,20100115,12.6,12.6,11.3,11.6,35400
VMG,20100114,12.1,12.1,11.6,12,66400
VMG,20100113,11,11.9,10.9,11.4,36100
VMG,20100112,12,12,11.4,11.6,95200
VMG,20100111,12.5,12.5,12,12.2,58700
VMG,20100108,12.5,13.2,12.4,12.8,96100
VMG,20100107,12.2,12.8,12.2,12.5,72300
VMG,20100106,13.1,13.1,12.4,12.7,97000
VMG,20100105,13.1,13.1,12.8,13.1,168000
VMG,20100104,12,12.3,12,12.3,105600
VMG,20091231,11.4,11.8,11.1,11.5,106500
VMG,20091230,10.9,11.4,10.6,11.1,63500
VMG,20091229,11.5,11.6,10.9,11.2,37400
VMG,20091228,11.9,11.9,11.2,11.7,84500
VMG,20091225,11.5,11.8,11.1,11.7,110400
VMG,20091224,10.8,11.6,10.6,11.1,161500
VMG,20091223,10.9,11,10.8,10.9,63500
VMG,20091222,11.5,11.5,10.4,10.9,85000
VMG,20091221,10.8,10.8,10.7,10.8,61200
VMG,20091218,9.9,10.2,9.9,10.1,58700
VMG,20091217,9.8,10,9.4,9.6,30200
VMG,20091216,10.4,10.4,9.9,10,73900
VMG,20091215,10.7,10.8,10.1,10.6,52600
VMG,20091214,10.7,11,10,10.8,94100
VMG,20091211,11,11,10.3,10.3,47200
VMG,20091210,11.4,11.9,10.7,11,57900
VMG,20091209,12,12,11.4,11.4,106700
VMG,20091208,12.5,12.5,11.9,12.2,49900
VMG,20091207,13,13,12.5,12.6,33800
VMG,20091204,13,13,12.6,12.7,22500
VMG,20091203,13.1,13.1,12.3,12.8,33800
VMG,20091202,14.4,14.4,12.8,13.1,71600
VMG,20091201,13.5,13.8,13.5,13.7,86500
VMG,20091130,12.4,13.2,12,12.9,137100
VMG,20091127,11.9,13.4,11.9,12.4,126300
VMG,20091126,12.7,12.7,12.7,12.7,37600
VMG,20091125,14.5,14.5,13.5,13.6,96300
VMG,20091124,14.8,15,14.2,14.5,34600
VMG,20091123,15.6,15.6,14.6,14.9,89500
VMG,20091120,14.3,15.8,14.3,15.6,277800
VMG,20091119,14.7,15.1,14.6,14.8,47300
VMG,20091118,14.8,15,14,14.6,120000
VMG,20091117,15,15.4,14.6,14.9,54900
VMG,20091116,14.6,15.4,14.5,15.1,121100
VMG,20091113,15.6,15.6,14.8,15.1,84400
VMG,20091112,15.5,15.8,15.1,15.6,98100
VMG,20091111,14.7,15.4,14.5,14.8,82500
VMG,20091110,15.6,15.7,14.6,14.7,176900
VMG,20091109,16,16,15.6,15.6,39500
VMG,20091106,17,17.4,16.1,16.7,112700
VMG,20091105,16,16.5,15.2,16.3,119400
VMG,20091104,15,16,14.8,15.5,68200
VMG,20091103,16.8,16.8,15.6,15.7,127800
VMG,20091102,18,18,16.7,16.7,225400
VMG,20091030,17.8,17.9,17.8,17.9,137400
