<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VNC,20100729,29,29.1,28.5,29.1,49300
VNC,20100728,29,29,28.2,28.5,48500
VNC,20100727,29.1,29.8,28.8,29.3,95900
VNC,20100726,30,30,28.5,29.1,81500
VNC,20100723,31,31,29.6,29.9,66200
VNC,20100722,30.5,30.5,29.7,29.9,46800
VNC,20100721,31,31,30.2,30.6,51200
VNC,20100720,31.5,31.5,30.5,30.8,95000
VNC,20100719,30.5,31.5,30,30.7,95300
VNC,20100716,30,30.7,29.8,30.4,105100
VNC,20100715,30.6,31.3,30.4,30.7,88400
VNC,20100714,32.9,32.9,31,31.8,70300
VNC,20100713,33,33.5,31.5,32.3,68100
VNC,20100712,30,31.8,29.8,31.5,140600
VNC,20100709,29.6,30.5,29,29.8,84100
VNC,20100708,32,32,29.3,29.7,241600
VNC,20100707,33,33,30.3,31.5,141700
VNC,20100706,32,32.8,31,31.8,157200
VNC,20100705,32,33.4,32,32.5,107000
VNC,20100702,33,34,32.4,32.7,178200
VNC,20100701,33,33.3,32.1,32.6,102000
VNC,20100630,32.9,33.5,32.9,33,221800
VNC,20100629,34,35.6,34,35.3,323700
VNC,20100628,32.8,33.7,32.8,33.3,138600
VNC,20100625,32.4,33.7,32,32.8,240600
VNC,20100624,34.3,35,33.2,33.8,251000
VNC,20100623,32.8,34.2,32.4,33.2,297600
VNC,20100622,36,36,34.6,34.8,240900
VNC,20100621,37,37.6,35.6,37.1,372400
VNC,20100618,33.9,35.3,33.2,35.2,578600
VNC,20100617,32.7,33.7,31.5,33,463400
VNC,20100616,33.4,33.4,31.9,32.7,258800
VNC,20100615,32,33,31.5,32.3,243400
VNC,20100614,34.1,34.1,31,32.7,298100
VNC,20100611,32.1,32.1,31.2,32,249400
VNC,20100610,28.3,30.3,28.2,30,450600
VNC,20100609,30.3,30.3,27.9,28.4,178400
VNC,20100608,30.4,30.5,28.4,29.2,163100
VNC,20100607,30,32,28.5,30.5,400500
VNC,20100604,30.4,30.4,30.4,30.4,109800
VNC,20100603,27.6,28.5,27.6,28.5,516900
VNC,20100602,25.3,27.2,25.3,26.7,103900
VNC,20100601,25.5,26.4,25.2,26,107200
VNC,20100531,28,28.1,26.2,26.4,130400
VNC,20100528,28,28.6,27.4,28.1,326500
VNC,20100527,27.9,27.9,25.5,26.8,168800
VNC,20100526,24.8,26.6,24.8,26.2,190500
VNC,20100525,23.9,25.2,23.9,24.9,178800
VNC,20100524,24.3,24.3,22.9,23.6,153000
VNC,20100521,24.4,24.4,22.7,22.8,240300
VNC,20100520,24,26,24,24.4,251900
VNC,20100519,26.8,27,25.5,25.7,145400
VNC,20100518,28.1,28.1,27,27.4,99800
VNC,20100517,29.3,29.5,27,28.3,132300
VNC,20100514,27.2,28.8,26.8,28.2,210200
VNC,20100513,27,28.4,26.5,27,247300
VNC,20100512,28.4,28.8,28.4,28.4,116500
VNC,20100511,32,33,30.4,30.5,532600
VNC,20100510,33,33,32.6,32.6,140300
VNC,20100507,39.2,39.2,34.2,35,465500
VNC,20100506,36.7,36.7,36,36.7,264700
VNC,20100505,34.3,34.3,33,34.3,708000
VNC,20100504,32,32.1,32,32.1,94000
VNC,20100429,27.5,30.2,27.5,30,431800
VNC,20100428,27.6,29,27.6,28.3,204100
VNC,20100427,25,28.5,25,27.8,336900
VNC,20100426,26.8,27,26.6,26.7,32000
VNC,20100422,31,31,27.1,28.5,157000
VNC,20100421,27.3,29.2,27.3,29.1,445500
