<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VNM,20100729,91.5,92,91,91.5,45050
VNM,20100728,92.5,92.5,90.5,91.5,159210
VNM,20100727,92,92.5,91.5,92,89680
VNM,20100726,92.5,93,92,92,77420
VNM,20100723,92.5,92.5,92,92,39200
VNM,20100722,93,93,92.5,92.5,34060
VNM,20100721,93.5,94,93,93.5,77860
VNM,20100720,93.5,94,93,93,177800
VNM,20100719,92.5,93,92,92.5,62020
VNM,20100716,92.5,92.5,91.5,92.5,39150
VNM,20100715,92,92.5,91.5,92,48800
VNM,20100714,92.5,92.5,92,92,100580
VNM,20100713,92,92,91,92,61150
VNM,20100712,91,91.5,90.5,91.5,58490
VNM,20100709,91,91.5,91,91,100390
VNM,20100708,91.5,91.5,91,91,106850
VNM,20100707,90.5,91.5,90.5,91,103750
VNM,20100706,91.5,91.5,91,91,90400
VNM,20100705,91.5,91.5,91,91,47090
VNM,20100702,91.5,91.5,90.5,91.5,164590
VNM,20100701,90.5,91,90,91,210820
VNM,20100630,90.5,90.5,89.5,90,106670
VNM,20100629,91,91,90,90.5,96160
VNM,20100628,91,91,90,90.5,120260
VNM,20100625,90,91,90,91,65690
VNM,20100624,90,91,90,91,95000
VNM,20100623,90,91,89,90.5,136740
VNM,20100622,90,90,89,89.5,112680
VNM,20100621,90,90,89.5,89.5,216100
VNM,20100618,89.5,90,89.5,89.5,120680
VNM,20100617,90,90,89.5,89.5,324749
VNM,20100616,90,90,89.5,90,82730
VNM,20100615,89.5,90,89.5,89.5,115060
VNM,20100614,90.5,90.5,89.5,90,218800
VNM,20100611,91.5,91.5,89.5,90,559069
VNM,20100610,90,90,89,90,43820
VNM,20100609,90,90,89,89.5,76840
VNM,20100608,89,89,88,88,73450
VNM,20100607,88.5,89,87.5,88,270460
VNM,20100604,91,91,89.5,90,103320
VNM,20100603,90,90.5,89.5,89.5,128860
VNM,20100602,89,89,88.5,88.5,223120
VNM,20100601,89,89,88.5,89,82740
VNM,20100531,90.5,90.5,88.5,88.5,100970
VNM,20100528,91,91,89.5,90,130340
VNM,20100527,90,90,89,89,51500
VNM,20100526,89.5,89.5,89,89.5,88640
VNM,20100525,89.5,89.5,88.5,89,92030
VNM,20100524,89,89,87.5,88.5,162620
VNM,20100521,87,89.5,87,87.5,214660
VNM,20100520,89,90,88.5,90,272360
VNM,20100519,91,91,89,89.5,331580
VNM,20100518,91,91.5,90.5,91,79010
VNM,20100517,92,92,91,91,200000
VNM,20100514,92.5,92.5,91.5,92,117740
VNM,20100513,92,92,91,91.5,107080
VNM,20100512,91,92,91,91,237420
VNM,20100511,91,92,91,92,118430
VNM,20100510,91.5,92,90,90.5,221640
VNM,20100507,91,91.5,90,91.5,328240
VNM,20100506,93,93,92,92.5,209680
VNM,20100505,92,93,91.5,92.5,269490
VNM,20100504,94,94,93,93,177180
VNM,20100429,93,94.5,93,94,251870
VNM,20100428,95,95,93.5,94,398620
VNM,20100427,90.5,93.5,90,93,697450
VNM,20100426,89,89.5,88.5,89.5,260840
VNM,20100422,88.5,89,88,88,117050
VNM,20100421,88.5,89,87.5,88,119140
VNM,20100420,89,89,88,88.5,162870
VNM,20100419,89,89,88.5,88.5,240970
VNM,20100416,88.5,89,88,88.5,96740
VNM,20100415,89,89,88,89,158020
VNM,20100414,89,89,87.5,88,206310
VNM,20100413,89,89.5,88,88,391070
VNM,20100412,90,90,88,88,250280
VNM,20100409,86.5,87,86.5,86.5,162060
VNM,20100408,86,87,86,86.5,254670
VNM,20100407,87,87,85,85.5,234320
VNM,20100406,86.5,86.5,85.5,86,218490
VNM,20100405,86,87,86,86.5,103910
VNM,20100402,86,86,85,85.5,106910
VNM,20100401,85.5,85.5,84.5,84.5,6945040
VNM,20100331,85,85,84,84,118610
VNM,20100330,84,85,83,83.5,158730
VNM,20100329,86.5,86.5,84.5,85,143530
VNM,20100326,84.5,85,84,84.5,130230
VNM,20100325,84,85,84,85,135870
VNM,20100324,85,85.5,85,85,70370
VNM,20100323,85.5,86,84.5,84.5,76950
VNM,20100322,85.5,87,85.5,85.5,54750
VNM,20100319,87,87.5,86,86,46770
VNM,20100318,86.5,87,86,87,66490
VNM,20100317,86.5,87.5,86.5,86.5,83710
VNM,20100316,87.5,88.5,86.5,86.5,123000
VNM,20100315,90,90,88,88,200590
VNM,20100312,88,88.5,87.5,88,104640
VNM,20100311,88.5,89,87.5,88,114560
VNM,20100310,89,90.5,88.5,88.5,142590
VNM,20100309,88.5,92,88.5,90.5,1059570
VNM,20100308,90.5,90.5,87.5,88,328580
VNM,20100305,88,88,86,87,257150
VNM,20100304,87.5,88.5,86.5,86.5,423030
VNM,20100303,85.5,86,84.5,85.5,182040
VNM,20100302,85.5,85.5,83.5,83.5,371080
VNM,20100301,86,86,84,84,650220
VNM,20100226,87,87.5,84,84,1024030
VNM,20100225,87.5,87.5,86.5,87,591140
VNM,20100224,84.5,86,84.5,85.5,435280
VNM,20100223,87,87,84.5,84.5,542830
VNM,20100222,88,88,86,87.5,640640
VNM,20100212,87,89,87,88.5,1058090
VNM,20100211,84.5,87,84,87,1382690
VNM,20100210,81,83,81,83,615590
VNM,20100209,82.5,83,79,79,1991740
VNM,20100208,81,83.5,81,83,246070
VNM,20100205,85,85.5,83,83,551100
VNM,20100204,85,88,84.5,87,1188140
VNM,20100203,81,84,80.5,84,1659620
VNM,20100202,80,80.5,78,80,713690
VNM,20100201,75.5,79,75.5,79,258050
VNM,20100129,76.5,77,75.5,75.5,337550
VNM,20100128,77,77,75.5,76,163980
VNM,20100127,76.5,78.5,76,76,560860
VNM,20100126,77,79.5,77,79.5,620490
VNM,20100125,74.5,76,74,76,254610
VNM,20100122,74,75,73.5,74,259390
VNM,20100121,74.5,76,74,74,547510
VNM,20100120,72.5,76,72.5,76,967292
VNM,20100119,69.5,72.5,69.5,72.5,281670
VNM,20100118,70,70.5,69,69,264810
VNM,20100115,74.5,74.5,72,72,241100
VNM,20100114,74,75,73,74,175250
VNM,20100113,71,74,70,74,351930
VNM,20100112,73,74,72,72,362150
VNM,20100111,75,76,74.5,74.5,270860
VNM,20100108,78,79.5,75.5,75.5,391270
VNM,20100107,80,80.5,78,78,165310
VNM,20100106,78,81,78,80.5,320220
VNM,20100105,80,80,79,80,788950
VNM,20100104,73,76.5,73,76.5,522570
VNM,20091231,74,74.5,72.5,73,303560
VNM,20091230,72,73.5,72,73,176990
VNM,20091229,75,75.5,72.5,72.5,137750
VNM,20091228,73,75,72,75,371600
VNM,20091225,68,71.5,68,71.5,705200
VNM,20091224,67.5,68,67,68,271830
VNM,20091223,66,68,66,68,362480
VNM,20091222,68,69,67.5,67.5,391040
VNM,20091221,68,68,67,68,350320
VNM,20091218,65,65,64.5,65,417830
VNM,20091217,63,63.5,62,62,183600
VNM,20091216,67.5,67.5,64.5,64.5,339900
VNM,20091215,67,68,66.5,67.5,237800
VNM,20091214,67,68,67,67.5,220630
VNM,20091211,66.5,67.5,66,67,376760
VNM,20091210,71,71.5,67.5,67.5,923980
VNM,20091209,71.5,73,70.5,71,527930
VNM,20091208,73.5,75.5,73,74,395050
VNM,20091207,74,75,74,74.5,98800
VNM,20091204,75.5,76.5,75,75.5,273280
VNM,20091203,77,77,75.5,75.5,288200
VNM,20091202,77,77.5,75.5,77,271430
VNM,20091201,78,78,77,77.5,493080
VNM,20091130,76,78,75.5,76.5,234500
VNM,20091127,72,79,72,75.5,755480
VNM,20091126,75.5,76,75.5,75.5,452550
VNM,20091125,81.5,81.5,78,79.5,352730
VNM,20091124,82,83,81.5,82,209410
VNM,20091123,84,85,82,82,149040
VNM,20091120,85,85.5,84.5,85,390010
VNM,20091119,85,85.5,84.5,85,387080
VNM,20091118,83,84.5,82.5,84.5,682520
VNM,20091117,82,82.5,81.5,82.5,301350
VNM,20091116,84,84,82,82,174000
VNM,20091113,81,83,81,83,254020
VNM,20091112,83,84,83,83,232460
VNM,20091111,80.5,83,80,83,295090
VNM,20091110,80.5,81,79,80.5,328780
VNM,20091109,79,82,78.5,79.5,229510
VNM,20091106,83.5,83.5,82,82,321320
VNM,20091105,81,83.5,80.5,82,220610
VNM,20091104,78,81,78,79.5,365700
VNM,20091103,80,81.5,79,79,599180
VNM,20091102,82,82.5,81.5,82,545760
VNM,20091030,87,87,84.5,85.5,595340
VNM,20091029,85,86,83.5,85,564070
VNM,20091028,84,87,83,87,880660
VNM,20091027,83,83.5,82,83,643410
VNM,20091026,83,84,83,83,414370
VNM,20091023,84,84.5,83,83.5,664210
VNM,20091022,84,84.5,83,84,649040
VNM,20091021,83,84.5,83,84,502720
VNM,20091020,86,86.5,85,85,250520
VNM,20091019,85,86,85,85,337510
VNM,20091016,88,88,86,86,282560
VNM,20091015,91,91.5,89,89,646020
VNM,20091014,84,88,84,88,375850
VNM,20091013,85,86,84,84,373090
VNM,20091012,87.5,87.5,86,86.5,264260
VNM,20091009,88,88,86.5,87,651820
VNM,20091008,88,88,86,87.5,504710
VNM,20091007,83,86.5,83,86.5,578670
VNM,20091006,83,83.5,82,82.5,519010
VNM,20091005,83,84,82,83,288520
VNM,20091002,83,85,82,83.5,873070
VNM,20091001,90.5,90.5,86,86,667590
VNM,20090930,85,88,84,88,678350
VNM,20090929,84,85.5,84,84,920850
VNM,20090928,89,89.5,86,86,581330
VNM,20090925,88,90,87,89,559770
VNM,20090924,89,93,88.5,88.5,1131030
VNM,20090923,97,97,93,93,1145820
VNM,20090922,97,97,94.5,97,2191200
VNM,20090921,92.5,92.5,92.5,92.5,736616
VNM,20090918,88,88,88,88,807530
VNM,20090917,83.5,84,81.5,84,755980
VNM,20090916,80.5,81,79,80,378440
VNM,20090915,84,85,81.5,81.5,383940
VNM,20090914,85.5,86.5,84.5,85.5,271030
VNM,20090911,83,83,82,83,461500
VNM,20090910,79,79,78.5,79,344340
VNM,20090909,76.5,77,75.5,75.5,63130
VNM,20090908,74.5,76.5,74,76.5,263420
VNM,20090907,73,73.5,72,73,128120
VNM,20090904,74,74.5,72,72.5,159550
VNM,20090903,75.5,75.5,72.5,74,506420
VNM,20090901,76,77,75.5,76,94210
VNM,20090831,77,77,76,77,264350
VNM,20090828,77,77,75.5,76,192700
VNM,20090827,74.5,75,74,75,121990
VNM,20090826,74,75.5,73,73,229170
VNM,20090825,76,76.5,73.5,76.5,164620
VNM,20090824,78,78,77,77,219780
VNM,20090821,79,79,75.5,78,605720
VNM,20090820,75.5,75.5,73.5,75.5,207070
VNM,20090819,72.5,73.5,72,72,56190
VNM,20090818,72.5,73,71.5,72,126490
VNM,20090817,73,74.5,73,73.5,113260
VNM,20090814,71.5,73,71.5,73,126370
VNM,20090813,72,72.5,71.5,72,226530
VNM,20090812,73,73.5,72,72,227810
VNM,20090811,72,73,72,73,196940
VNM,20090810,69.5,70.5,68.5,70.5,122670
VNM,20090807,68.5,69,68,68.5,85680
VNM,20090806,69.5,71.5,67,68.5,131440
VNM,20090805,67.5,70,67,69.5,681660
VNM,20090804,67,67,66,67,268310
VNM,20090803,62,64,61.5,64,98280
VNM,20090731,60,61,59.5,61,276590
VNM,20090730,59.5,60,57.5,59.5,80040
VNM,20090729,60.5,60.5,60,60,231450
VNM,20090728,58,60,58,60,248020
VNM,20090727,58,60,57.5,60,242950
VNM,20090724,58,58,57.5,58,376280
VNM,20090723,54.5,55.5,54.5,55.5,276820
VNM,20090722,54,55,54,54.5,204970
VNM,20090721,52.5,53.5,52.5,53,227420
